=== MeshGhost Crystal/AP scroll-offset watch (READ-ONLY) ===
PHASE 1 (20s): walk LEFT and RIGHT.

phase  x   y  | 114C  114D  114E  114F  1150  1151  1152  1153  1154  1155  1156  1157  1158  1159
1        4   7 |    0     1    24     5     1    24     4     0    64     0     2   160     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    60     0     2    32     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    58     0     2    32     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    56     0     2    32     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    54     0     2    32     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    52     0     2    32     0    64 || 1439=2 0FB1=2
1        4   7 |    0     1    24     5     1    24     4     0    50     0     2    32     0    64 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     0    48     0     2    96     0    64 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     0    48     0     0     0   255    64 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     0    48   254     0   160     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     4    48   254     0    32     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     6    48   254     0    32     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4     8    48   254     0    32     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4    10    48   254     0    32     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4    12    48   254     0    32     2    94 || 1439=2 0FB1=2
1        4   8 |    0     1    24     5     1    24     4    14    48   254     0    32     2    94 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    16    48   254     0    96     2    94 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    16    48   254     0   160     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    20    48   254     0    32     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    22    48   254     0    32     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    24    48   254     0    32     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    26    48   254     0    32     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    28    48   254     0    32     2    92 || 1439=2 0FB1=2
1        3   8 |    0     1    24     5     1    24     4    30    48   254     0    32     2    92 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    32    48   254     0    96     2    92 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    32    48   254     0   160     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    36    48   254     0    32     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    38    48   254     0    32     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    40    48   254     0    32     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    42    48   254     0    32     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    44    48   254     0    32     2    90 || 1439=2 0FB1=2
1        2   8 |    0     1    24     5     1    24     4    46    48   254     0    32     2    90 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    48    48   254     0    96     2    90 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    48    48   254     0   160     2    88 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    52    48   254     0    32     2    88 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    54    48   254     0    32     2    88 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    56    48   254     0    32     2    88 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    58    48   254     0    32     2    88 || 1439=2 0FB1=2
1        1   8 |    0     1    24     5     1    24     4    60    48   254     0    32     2    88 || 1439=2 0FB1=2
